func_name,shadow_price,ir_count,opt_level,inlined,threshold_baseline,threshold_adjusted
func_23_size_10_opt_0,5.00,10,0,0,20,5
func_23_size_50_opt_0,9.00,50,0,0,20,5
func_23_size_100_opt_0,5.00,100,0,0,20,5
func_23_size_200_opt_0,11.00,200,0,0,20,5
func_23_size_500_opt_0,14.00,500,0,0,20,5
func_24_size_10_opt_0,1113.00,10,0,1,20,100
func_24_size_50_opt_0,877.00,50,0,1,20,100
func_24_size_100_opt_0,1025.00,100,0,0,20,100
func_24_size_200_opt_0,810.00,200,0,0,20,100
func_24_size_500_opt_0,818.00,500,0,0,20,100
func_25_size_10_opt_0,11.00,10,0,0,20,5
func_25_size_50_opt_0,8.00,50,0,0,20,5
func_25_size_100_opt_0,5.00,100,0,0,20,5
func_25_size_200_opt_0,6.00,200,0,0,20,5
func_25_size_500_opt_0,14.00,500,0,0,20,5
func_26_size_10_opt_0,887.00,10,0,1,20,100
func_26_size_50_opt_0,961.00,50,0,1,20,100
func_26_size_100_opt_0,1102.00,100,0,0,20,100
func_26_size_200_opt_0,1074.00,200,0,0,20,100
func_26_size_500_opt_0,1026.00,500,0,0,20,100
func_27_size_10_opt_0,11.00,10,0,0,20,5
func_27_size_50_opt_0,14.00,50,0,0,20,5
func_27_size_100_opt_0,7.00,100,0,0,20,5
func_27_size_200_opt_0,14.00,200,0,0,20,5
func_27_size_500_opt_0,14.00,500,0,0,20,5
func_28_size_10_opt_0,871.00,10,0,1,20,100
func_28_size_50_opt_0,1015.00,50,0,1,20,100
func_28_size_100_opt_0,1108.00,100,0,0,20,100
func_28_size_200_opt_0,1051.00,200,0,0,20,100
func_28_size_500_opt_0,840.00,500,0,0,20,100
func_29_size_10_opt_0,14.00,10,0,0,20,5
func_29_size_50_opt_0,5.00,50,0,0,20,5
func_29_size_100_opt_0,13.00,100,0,0,20,5
func_29_size_200_opt_0,15.00,200,0,0,20,5
func_29_size_500_opt_0,13.00,500,0,0,20,5
func_30_size_10_opt_0,978.00,10,0,1,20,100
func_30_size_50_opt_0,1078.00,50,0,1,20,100
func_30_size_100_opt_0,1036.00,100,0,0,20,100
func_30_size_200_opt_0,938.00,200,0,0,20,100
func_30_size_500_opt_0,870.00,500,0,0,20,100
func_31_size_10_opt_0,6.00,10,0,0,20,5
func_31_size_50_opt_0,10.00,50,0,0,20,5
func_31_size_100_opt_0,6.00,100,0,0,20,5
func_31_size_200_opt_0,5.00,200,0,0,20,5
func_31_size_500_opt_0,15.00,500,0,0,20,5
func_32_size_10_opt_0,916.00,10,0,1,20,100
func_32_size_50_opt_0,980.00,50,0,1,20,100
func_32_size_100_opt_0,1195.00,100,0,0,20,100
func_32_size_200_opt_0,816.00,200,0,0,20,100
func_32_size_500_opt_0,1142.00,500,0,0,20,100
func_33_size_10_opt_0,11.00,10,0,0,20,5
func_33_size_50_opt_0,10.00,50,0,0,20,5
func_33_size_100_opt_0,6.00,100,0,0,20,5
func_33_size_200_opt_0,14.00,200,0,0,20,5
func_33_size_500_opt_0,7.00,500,0,0,20,5
func_34_size_10_opt_0,1059.00,10,0,1,20,100
func_34_size_50_opt_0,822.00,50,0,1,20,100
func_34_size_100_opt_0,1020.00,100,0,0,20,100
func_34_size_200_opt_0,997.00,200,0,0,20,100
func_34_size_500_opt_0,1052.00,500,0,0,20,100
func_35_size_10_opt_0,9.00,10,0,0,20,5
func_35_size_50_opt_0,12.00,50,0,0,20,5
func_35_size_100_opt_0,7.00,100,0,0,20,5
func_35_size_200_opt_0,14.00,200,0,0,20,5
func_35_size_500_opt_0,11.00,500,0,0,20,5
func_36_size_10_opt_0,1135.00,10,0,1,20,100
func_36_size_50_opt_0,1136.00,50,0,1,20,100
func_36_size_100_opt_0,1085.00,100,0,0,20,100
func_36_size_200_opt_0,862.00,200,0,0,20,100
func_36_size_500_opt_0,847.00,500,0,0,20,100
func_37_size_10_opt_0,5.00,10,0,0,20,5
func_37_size_50_opt_0,15.00,50,0,0,20,5
func_37_size_100_opt_0,8.00,100,0,0,20,5
func_37_size_200_opt_0,6.00,200,0,0,20,5
func_37_size_500_opt_0,12.00,500,0,0,20,5
func_38_size_10_opt_0,879.00,10,0,1,20,100
func_38_size_50_opt_0,1109.00,50,0,1,20,100
func_38_size_100_opt_0,1161.00,100,0,0,20,100
func_38_size_200_opt_0,1135.00,200,0,0,20,100
func_38_size_500_opt_0,803.00,500,0,0,20,100
func_39_size_10_opt_0,13.00,10,0,0,20,5
func_39_size_50_opt_0,7.00,50,0,0,20,5
func_39_size_100_opt_0,11.00,100,0,0,20,5
func_39_size_200_opt_0,9.00,200,0,0,20,5
func_39_size_500_opt_0,12.00,500,0,0,20,5
func_40_size_10_opt_0,842.00,10,0,1,20,100
func_40_size_50_opt_0,1157.00,50,0,1,20,100
func_40_size_100_opt_0,886.00,100,0,0,20,100
func_40_size_200_opt_0,873.00,200,0,0,20,100
func_40_size_500_opt_0,938.00,500,0,0,20,100
func_41_size_10_opt_0,13.00,10,0,0,20,5
func_41_size_50_opt_0,13.00,50,0,0,20,5
